dia_numero,mes_numero,afluencia
0,1,20615.915282051283
0,2,20122.94440728354
0,3,19516.425714285713
0,4,20883.94039390561
0,5,20873.85352112676
0,6,20572.44645550528
0,7,20397.84369808595
0,8,21619.625929938607
0,9,21279.10204384987
0,10,22831.680678945468
0,11,20247.519457013575
0,12,20683.491440953414
1,1,20656.16492307692
1,2,22559.73438914027
1,3,22014.772408811845
1,4,21102.65484949833
1,5,21137.59927771759
1,6,20659.212518853696
1,7,20525.471289274104
1,8,21855.61690140845
1,9,21378.18717948718
1,10,22710.12553268328
1,11,22638.96380527685
1,12,20601.355940772843
2,1,20582.944615384615
2,2,22628.240802675584
2,3,22079.454460093897
2,4,21391.168929110107
2,5,21405.662838569882
2,6,21208.222222222223
2,7,20733.241097869268
2,8,22311.752112676055
2,9,21248.333333333332
2,10,22888.163019140484
2,11,23061.302787068005
2,12,20986.312454212453
3,1,20833.616957264956
3,2,22599.856781865477
3,3,21946.908486818345
3,4,20174.590196078432
3,5,21422.6511375948
3,6,21115.724786324787
3,7,20309.296043956045
3,8,22216.30068616829
3,9,21802.482720178374
3,10,22739.839797760924
3,11,23235.207843137254
3,12,21066.204911520403
4,1,20987.22105263158
4,2,23277.551432880846
4,3,22431.724882629107
4,4,20051.19568933482
4,5,21828.751607078368
4,6,21730.44653092006
4,7,20860.54770675334
4,8,22603.600361141205
4,9,21881.778372352284
4,10,23343.4167032967
4,11,23757.90724637681
4,12,21669.056699169374
5,1,16734.090188034188
5,2,18666.171757710887
5,3,18277.783459732756
5,4,16906.52040133779
5,5,17656.98761904762
5,6,18114.64109996284
5,7,17507.156013001084
5,8,18635.48891296497
5,9,17867.49713423831
5,10,19537.618923799204
5,11,19603.765886287627
5,12,18373.37717587577
6,1,11068.345006747639
6,2,11965.065233785823
6,3,11914.90870350307
6,4,11244.836199095023
6,5,11321.665294330083
6,6,11713.07751765143
6,7,11182.852798844347
6,8,12105.686813186812
6,9,11700.590486807878
6,10,12469.11982665222
6,11,12853.191025641026
6,12,13097.395088479596
