fecha,afluencia
2010-01-01,1511363
2010-01-02,2633052
2010-01-03,2216448
2010-01-04,4085108
2010-01-05,4164143
2010-01-06,3701204
2010-01-07,4027912
2010-01-08,4159167
2010-01-09,3014873
2010-01-10,2201088
2010-01-11,4193878
2010-01-12,3827480
2010-01-13,4079059
2010-01-14,4171318
2010-01-15,4423899
2010-01-16,3408183
2010-01-17,2223044
2010-01-18,4240459
2010-01-19,4389079
2010-01-20,4316873
2010-01-21,4293750
2010-01-22,4354998
2010-01-23,3445462
2010-01-24,2214923
2010-01-25,4219756
2010-01-26,4231249
2010-01-27,4366927
2010-01-28,4305753
2010-01-29,4577680
2010-01-30,3473878
2010-01-31,2286978
2010-02-01,2802579
2010-02-02,4403990
2010-02-03,4553679
2010-02-04,4193212
2010-02-05,4694375
2010-02-06,3822226
2010-02-07,2428908
2010-02-08,4597193
2010-02-09,4557204
2010-02-10,4699321
2010-02-11,4761867
2010-02-12,4944479
2010-02-13,3883215
2010-02-14,2713223
2010-02-15,4694764
2010-02-16,4682436
2010-02-17,4481356
2010-02-18,4361607
2010-02-19,4772258
2010-02-20,3942490
2010-02-21,2551512
2010-02-22,4593281
2010-02-23,4594233
2010-02-24,4750101
2010-02-25,4812518
2010-02-26,4914043
2010-02-27,3921587
2010-02-28,2674167
2010-03-01,4698362
2010-03-02,4694975
2010-03-03,4706962
2010-03-04,4733405
2010-03-05,4867409
2010-03-06,3848483
2010-03-07,2529875
2010-03-08,4626140
2010-03-09,4632802
2010-03-10,4674327
2010-03-11,4726511
2010-03-12,4964852
2010-03-13,3890016
2010-03-14,2441432
2010-03-15,2628727
2010-03-16,4697054
2010-03-17,4834418
2010-03-18,4749679
2010-03-19,4872567
2010-03-20,3858554
2010-03-21,2491856
2010-03-22,4525196
2010-03-23,4772868
2010-03-24,4733849
2010-03-25,4738516
2010-03-26,4966638
2010-03-27,3704773
2010-03-28,2543545
2010-03-29,4225045
2010-03-30,4195317
2010-03-31,4248263
2010-04-01,2941674
2010-04-02,2061905
2010-04-03,2390052
2010-04-04,1982173
2010-04-05,4361983
2010-04-06,4559309
2010-04-07,4659162
2010-04-08,4667155
2010-04-09,4775594
2010-04-10,3589654
2010-04-11,2476333
2010-04-12,4564753
2010-04-13,4628221
2010-04-14,4841786
2010-04-15,4805651
2010-04-16,4975672
2010-04-17,3831321
2010-04-18,2435344
2010-04-19,4607914
2010-04-20,4738195
2010-04-21,4742722
2010-04-22,4751141
2010-04-23,4824712
2010-04-24,3879410
2010-04-25,2578314
2010-04-26,4654766
2010-04-27,4639849
2010-04-28,4925680
2010-04-29,4869361
2010-04-30,5049836
2010-05-01,3468033
2010-05-02,2373982
2010-05-03,4549053
2010-05-04,4616123
2010-05-05,4360124
2010-05-06,4769066
2010-05-07,5110813
2010-05-08,3985972
2010-05-09,2433603
2010-05-10,3951046
2010-05-11,4564100
2010-05-12,4873588
2010-05-13,4731553
2010-05-14,4968339
2010-05-15,3800515
2010-05-16,2486667
2010-05-17,4643540
