linea,estacion,afluencia
Línea 1,Observatorio,316308727
Línea 1,Chapultepec,253882374
Línea 1,Insurgentes,252720822
Línea 1,Zaragoza,237348026
Línea 1,Merced,236896464
Línea 12,Tláhuac,141260790
Línea 12,Insurgentes Sur,112726628
Línea 12,Periférico Oriente,94211823
Línea 12,Atlalilco,70511439
Línea 12,Tezonco,60267450
Línea 2,Cuatro Caminos,571961216
Línea 2,Tasqueña,423109382
Línea 2,Zócalo/Tenochtitlan,325840030
Línea 2,Tacuba,191625744
Línea 2,Normal,189003767
Línea 3,Indios Verdes,598922286
Línea 3,Universidad,357886808
Línea 3,Copilco,201339934
Línea 3,Deportivo 18 de Marzo,195939892
Línea 3,La Raza,175338829
Línea 4,Martín Carrera,116477213
Línea 4,Canal del Norte,46194898
Línea 4,Fray Servando,45320169
Línea 4,Candelaria,44632615
Línea 4,Morelos,42082954
Línea 5,Pantitlán,420186335
Línea 5,Politécnico,174931733
Línea 5,Autobuses del Norte,123012862
Línea 5,Terminal Aérea,90631015
Línea 5,La Raza,56618399
Línea 6,Martín Carrera,155029253
Línea 6,Ferrería/Arena Ciudad de México,114677741
Línea 6,El Rosario,99904271
Línea 6,Lindavista,87092235
Línea 6,La Villa/Basílica,75463984
Línea 7,Barranca del Muerto,201974863
Línea 7,El Rosario,176304372
Línea 7,Polanco,169884839
Línea 7,Auditorio,164413312
Línea 7,San Joaquín,123944159
Línea 8,Constitución de 1917,495555972
Línea 8,San Juan de Letrán,151412173
Línea 8,UAM-I,139598351
Línea 8,Escuadrón 201,124872279
Línea 8,Coyuya,124650000
Línea 9,Pantitlán,375958018
Línea 9,Tacubaya,285589000
Línea 9,Chilpancingo,224256976
Línea 9,Puebla,172720577
Línea 9,Mixiuhca,111386147
Línea A,Pantitlán,393658581
Línea A,La Paz,201382074
Línea A,Santa Marta,160436200
Línea A,Guelatao,105546331
Línea A,Tepalcates,105512018
Línea B,Ciudad Azteca,303422552
Línea B,Buenavista,300263611
Línea B,Múzquiz,173545547
Línea B,Ecatepec,146811334
Línea B,Impulsora,137740124
